ID,Name
63,აბაშა
38,ადიგენი
31,ახალგორი
40,ახალქალაქი
37,ახალციხე
18,ახმეტა
44,ამბროლაური
39,ასპინძა
52,ბაღდათი
79,ბათუმი
23,ბოლნისი
36,ბორჯომი
56,ჭიათურა
69,ჩხოროწყუ
62,ჩოხატაური
7,ჩუღურეთი
14,დედოფლისწყარო
8,დიდუბე
24,დმანისი
28,დუშეთი
21,გარდაბანი
10,გლდანი
32,გორი
12,გურჯაანი
5,ისანი
33,ქარელი
30,კასპი
29,ყაზბეგი
80,ქედა
48,ხარაგაული
35,ხაშური
83,ხელვაჩაური
66,ხობი
55,ხონი
84,ხულო
81,ქობულეთი
4,კრწანისი
85,ქურთა
59,ქუთაისი
16,ყვარელი
15,ლაგოდეხი
61,ლანჩხუთი
46,ლენტეხი
22,მარნეული
65,მარტვილი
47,მესტია
1,მთაწმინდა
27,მცხეთა
9,ნაძალადევი
41,ნინოწმინდა
43,ონი
60,ოზურგეთი
70,ფოთი
20,რუსთავი
3,საბურთალო
50,საჩხერე
11,საგარეჯო
6,სამგორი
54,სამტრედია
64,სენაკი
82,შუახევი
13,სიღნაღი
999,თბილისი
17,თელავი
49,თერჯოლა
26,თეთრიწყარო
19,თიანეთი
57,ტყიბული
45,ცაგერი
68,წალენჯიხა
25,წალკა
58,წყალტუბო
2,ვაკე
53,ვანი
51,ზესტაფონი
67,ზუგდიდი
